Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Остатки,,,,,,,,,,,,
,,отчет создан:,2026-06-27 12:08:47.143000,,,,,,,,,,
,,исполнитель:,Валерия  (admin@gorokhovavaleriia ),,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,склад:,Основной склад,,,,,,,,,,
,,доступно:,Любое,,,,,,,,,,
,,,,,,,,,,,,,
,Код,Артикул,Наименование,Ед.изм.,Доступно,Резерв,Ожидание,Остаток,Себестоимость,"Сумма
себестоимости",Цена продажи,Сумма продажи,Дней на складе
,Лера,,,,,,,,,,,,
,129700650_231123132,,кисть для масок черная,шт,94,1,0,95,70.47,6694.65,679,64505,32.49
,101495483_908900980,,пакет для вакууматора 15*500,шт,4,0,4,0,0,0,800,0,0
,122251406_5489579342,,универсальный чехол waterproof,шт,0,8,0,8,883.05,7064.4,1593,12744,29.39
,102638498_525223123,,термометр с щупом,шт,0,0,0,0,0,0,1985,0,0
,119408939_6784857253,,детская панамка синяя,шт,23,12,0,35,691.83,24214.05,1218,42630,8.62
,105536965_5093259724,,бенч скребок стальной,шт,39,1,0,40,398.38,15935.2,999,39960,69.75
,117719300_57875325787,,светильник медуза двойной,шт,100,0,100,0,0,0,2009,0,0
,114705243_123123132,,подушки в машину awesome,шт,56,3,50,9,1623.83,14614.47,3434,30906,22.66
,122331806_023984082,,водородная бутылка,шт,0,0,0,0,0,0,4300,0,0
,139384086_9843280432,,прорезыватель банан,шт,113,0,0,113,226.23486725663716,25564.54,495,55935,198.55
,109846267_45613123132,,подстаканник KidGo,шт,51,0,51,0,0,0,1398,0,0
,137537081_74673472957,,кензан пластиковый,шт,32,0,0,32,227,7264,1049,33568,37.43
,;119220282_1356487956332,,ночник с ушками розовый,шт,141,0,16,125,445.254,55656.75,995,124375,51.79
,;119220282_1356487956333,,ночник с ушками синий,шт,136,0,4,132,453.15371212121215,59816.29,1225,161700,93.04
,113969166_4759384230,,парные фенечки инь янь,шт,63,2,50,15,216.39,3245.85,799,11985,44.56
,159816248_657482932,,пароварка-вкладыш,шт,68,3,0,71,372.15971830985916,26423.34,905,64255,14.32
,112563424_6475588473,,фломастеры 24 цвета,шт,0,0,0,0,0,0,1100,0,0
,136259725_288292929,,Массажер для глаз,,26,15,0,41,813.03,33334.23,1574,64534,56.6
,129896152_8932423784638,,неоновые палочки,шт,33,0,0,33,1072.95,35407.35,2740,90420,22.58
,110568369_67383893,,Дождевик прозрачный,,50,2,50,2,1734.08,3468.16,3093,6186,32.5
,133949535_64589493572,,парные браслеты цепи,шт,92,2,0,94,164.49,15462.06,675,63450,37.46
,132658327_5734857932,,сетка багажник,шт,90,1,90,1,506.87,506.87,1399,1399,22.58
,128315710_231123312,,силиконовые носки,шт,33,2,0,35,184.23,6448.05,400,14000,69.76
,110510526_21312331212,,контейнер для протезов синий,шт,0,0,0,0,0,0,537,0,0
,140812573_754456734,,Ролл-шторы черные на присосках,шт,61,0,50,11,937.41,10311.51,1670,18370,37.47
,140506632_2312132,,мерная чаша силиконовая,шт,41,4,0,45,769.77,34639.65,1698,76410,44.56
,117486185_6728289,,чехол для одежды с карманом,шт,-1,15,0,14,2198.98,30785.72,3108,43512,77.54
,108955793_6485395432,,газовая горелка маленькая,шт,49,1,0,50,1111.24,55562,1797,89850,1.62
,135932817_272882939,,Дождевик серый,,47,3,0,50,340.24,17012,791,39550,1.58
,143283320_58374823944,,черные колпачки 4 шт CHEVROLET,шт,40,1,30,11,250.55,2756.05,697,7667,36.48
