Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,Прибыльность по товарам,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,отчет создан:,2026-06-30 13:45:49.042000,,,,,,,,,,,,,,,,,
,,исполнитель:,Валерия  (admin@gorokhovavaleriia ),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Склад:,По умолчанию содержит Основной склад,,,,,,,,,,,,,,,,,
,,Остатки по модификацям:,да,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Код,Артикул,Наименование,Ед.изм.,Продажи,,,,,,Возвраты,,,,,,,Рентабельность ,,Прибыль
,,,,,Кол-во,Цена,Себестоимость,Комиссия (входит в себестоимость),Сумма,Сумма себест.,Кол-во,Цена,Себестоимость,Комиссия из продаж,Комиссия за возвраты,Сумма,Сумма себест.,Товара,Продаж,
,104701785_8745146531,,лампа для блога,шт,59,1400.2222033898306,779.7294915254238,0,82613.11,46004.04,0,0,0,0,0,0,0,0.7957794576302429,0.44313874638056844,36609.07
,119805761_593072707,107401301,Вешалка на подголовник,,37,2385.6664864864865,1410.73,0,88269.66,52197.01,0,0,0,0,0,0,0,0.6910865200899439,0.40866420013399846,36072.65
,141564118_8787987979,,электрическая овощерезка,шт,4,44719.925,35945.41,0,178879.7,143781.64,0,0,0,0,0,0,0,0.24410668844784356,0.19621041403803785,35098.06
,110568369_67383893,,Дождевик прозрачный,,49,2448.723673469388,1734.08,0,119987.46,84969.92,0,0,0,0,0,0,0,0.41211689972168974,0.2918433309614188,35017.54
,132626624_5745930593,,пирсинг 150 шт,шт,55,690.4925454545455,57.91381818181818,0,37977.09,3185.26,0,0,0,0,0,0,0,10.922759837501491,0.9161268017112423,34791.83
,110566743_1987987123,,Вентилятор SprayFan зеленый,шт,44,2255.9086363636366,1443.1254545454544,0,99259.98,63497.52,2,2275.69,1548.72,0,0,4551.38,3097.44,0.5680211019588054,0.36225348067651725,34308.52
,116379010_5675884353,,настольная табличка А4,шт,98,917.5213265306123,572.53,0,89917.09,56107.94,0,0,0,0,0,0,0,0.6025733612747144,0.376003605098875,33809.15
,103293346_856598652,,пирометр,шт,41,2211.1907317073174,1416.9,0,90658.82,58092.9,0,0,0,0,0,0,0,0.5605834792203522,0.3592140290376601,32565.92
,119939163_6548092845,,ветрозащитный экран,шт,41,1603.341219512195,821.6695121951219,0,65736.99,33688.45,0,0,0,0,0,0,0,0.9513212985459408,0.4875267334266446,32048.54
,++139817817_498498156,139817817_498498156,стол гриль с крышкой,шт,9,13770.53111111111,10300.17,0,123934.78,92701.53,0,0,0,0,0,0,0,0.33692270235453503,0.25201359941091594,31233.25
,121706062_1235856964,,Тапки с мишкой,шт,42,1352.0488095238095,613.3,0,56786.05,25758.6,0,0,0,0,0,0,0,1.2045472191811666,0.5463921156692533,31027.45
,112806580_84561215631,,коврик в палатку,шт,51,1685.80568627451,1086.597254901961,0,85976.09,55416.46,0,0,0,0,0,0,0,0.5514540264751664,0.3554433564029255,30559.63
,118697087_281433030,,Чехол для одежды,,19,3318.9436842105265,1791.89,0,63059.93,34045.91,0,0,0,0,0,0,0,0.8522028049771617,0.4601023185404741,29014.02
,117706937_4587934045,,арка для цветов,шт,7,7837.821428571428,3814.055714285714,0,54864.75,26698.39,0,0,0,0,0,0,0,1.0549834652950982,0.513378079732433,28166.36
,110644491_8541311313,108670607,мини сейф серый пластик,шт,79,1131.1530379746835,785.17,0,89361.09,62028.43,0,0,0,0,0,0,0,0.44064729673151487,0.30586757614527754,27332.66
,104361721_5312123,,Шейкер с фильтром синий,,8,6316.97,2900.415,0,50535.76,23203.32,0,0,0,0,0,0,0,1.1779538445360405,0.5408534471431715,27332.44
,139817817_498498156,,стол гриль без крышки,шт,5,14282,8835.23,0,71410,44176.15,0,0,0,0,0,0,0,0.6164831023074668,0.38137305699481866,27233.85
,122478476_546432123,,зажим для простыней трубы,шт,107,477.3186915887851,225.54084112149533,0,51073.1,24132.87,0,0,0,0,0,0,0,1.116329305217324,0.5274837438886616,26940.23
,103467323_3232323,,Кисть для чая,,29,1996.59,1111.4693103448276,0,57901.11,32232.61,0,0,0,0,0,0,0,0.7963518933154963,0.4433161989467905,25668.5
,23465332268,,Конструктор программируемый,,14,7785.071428571428,6001.71,0,108991,84023.94,1,6510.5,6001.71,0,0,6510.5,6001.71,0.3134782228090635,0.2386626724108489,24458.27
,109849082_8878483984,,сушилка для овощей,шт,47,2079.3568085106385,1559.4506382978723,0,97729.77,73294.18,0,0,0,0,0,0,0,0.3333905911765436,0.2500322061537646,24435.59
,105607592_86453121,,металлоискатель с лотком,шт,6,6649.63,2592.54,0,39897.78,15555.24,0,0,0,0,0,0,0,1.5649093167318537,0.6101226684792989,24342.54
,120002781_845184651,,подушка для новорожденных бежевая с ушками,шт,39,1550.6487179487178,929.36,0,60475.3,36245.04,0,0,0,0,0,0,0,0.6685124364602715,0.4006637420566744,24230.26
,135459804_86545153,,тренажер пальцев ног,шт,46,881.9593478260869,371.28,0,40570.13,17078.88,0,0,0,0,0,0,0,1.3754561189024104,0.5790282160791695,23491.25
,110568369_73883939,,Дождевик черный,,47,2599.6727659574467,2105.5,0,122184.62,98958.5,0,0,0,0,0,0,0,0.23470565944309987,0.19009037307641502,23226.12
,101785631_76858898343,,формочка эскимо,шт,42,858.1935714285714,306.497619047619,0,36044.13,12872.9,0,0,0,0,0,0,0,1.8000007768257347,0.6428572419420305,23171.23
,117786371_4561132132,,варежка пилинг черная,шт,121,317.44272727272727,129.25289256198346,0,38410.57,15639.6,0,0,0,0,0,0,0,1.4559816107828845,0.5928308275560608,22770.97
,141896932_4738938473,,держатели воды в машину,шт,26,1148.0961538461538,275.12,0,29850.5,7153.12,0,0,0,0,0,0,0,3.173074127094191,0.7603685030401501,22697.38
,109434219_5156141512,,светящиеся очки,шт,28,1449.920357142857,644.26,0,40597.77,18039.28,0,0,0,0,0,0,0,1.2505205307528904,0.5556583526632127,22558.49
,131917558_734573745,,кензан медный,шт,20,1545.58,454.9,0,30911.6,9098,0,0,0,0,0,0,0,2.3976258518355684,0.7056768332923563,21813.6
,136259725_288292929,,Массажер для глаз,,54,1216.029074074074,813.03,0,65665.57,43903.62,0,0,0,0,0,0,0,0.495675527439423,0.331405788452,21761.95
,133397424_6573878572,,подставка для посуды,шт,21,1925.7742857142857,892.65,0,40441.26,18745.65,0,0,0,0,0,0,0,1.1573677093085595,0.5364721573956894,21695.61
,550235151,,Набор для создания отпечатка,,25,1165.9552,265.7984,0,29148.88,6644.96,1,1402,269.36,0,0,1402,269.36,3.352042160737813,0.7702228142407362,21371.28
,123554737_854313,,набор для слепка синий,шт,11,5440.909090909091,3499.5327272727272,0,59850,38494.86,0,0,0,0,0,0,0,0.5547530241699801,0.3568110275689223,21355.14
,106822489_312123123,,палочки гарри поттера,шт,8,5521.48875,2888.73,0,44171.91,23109.84,0,0,0,0,0,0,0,0.9113896937408481,0.47682044991941713,21062.07
,116461701_856453131,,набор для слепка розовый,шт,7,6293.13,3385.21,0,44051.91,23696.47,0,0,0,0,0,0,0,0.8590072698591815,0.46207848876473234,20355.44
,104801620_4708190908243,,фурминатор,шт,50,1202.6866,796.87,0,60134.33,39843.5,1,960.13,796.87,0,0,960.13,796.87,0.515475215146608,0.3401409735999811,20127.57
,135662598_45484862625,,Футляр для зубной щетки и мыльницы дорожный,шт,27,1308.4351851851852,567.71,0,35327.75,15328.17,0,0,0,0,0,0,0,1.3047597984625692,0.5661153059563657,19999.58
,116411803_456123123,,вспениватель,шт,80,1013.950375,765.0485000000001,0,81116.03,61203.88,0,0,0,0,0,0,0,0.325341301891318,0.24547737358448138,19912.15
,118072439_7987908,,набор мерных ложек,шт,20,3352.9509999999996,2362.28,0,67059.02,47245.6,0,0,0,0,0,0,0,0.41937069272059196,0.2954624150487138,19813.42
,132658327_5734857932,,сетка багажник,шт,32,1118.510625,505.8075,0,35792.34,16185.84,0,0,0,0,0,0,0,1.2113365756735517,0.5477848053522066,19606.5
,107594478_48345132123,,клипса для простыней белые,шт,46,814.2328260869565,392.31,0,37454.71,18046.26,0,0,0,0,0,0,0,1.075483230320299,0.5181844953545228,19408.45
,137537081_74673472957,,кензан пластиковый,шт,33,813.3527272727272,227,0,26840.64,7491,0,0,0,0,0,0,0,2.5830516619943933,0.7209082942880647,19349.64
